"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Aramark Healthcare+","The healthcare industry is predicted to undergo more dynamic change in the next 20 years than it has in the past 100 years. Now, more than ever, it’s critical to align with partners that are focused on elevating your patient and caregiver.","Hospitals and Health Care","10,001+ employees","Public Company","Philadelphia, Pennsylvania","United States","aramark.com","https://www.linkedin.com/company/aramarkhealthcareplus"
,"Immucor, Inc.","We are excited to be ONE with Werfen and contribute to powering patient care.","Medical Equipment Manufacturing","1,001-5,000 employees","Privately Held","Norcross, GA","United States","werfen.com","https://www.linkedin.com/company/immucor-official"
,"International Working Group for Health Systems Strengthening","The International Working Group for Health Systems Strengthening aims to unite the next generation of strategic thinkers and innovators around the world to co-create equitable and sustainable solutions for complex health system challenges.","International Affairs","11-50 employees","Non Profit","Baltimore","United States","iwghss.org","https://www.linkedin.com/company/iwgforhss"
,"Avid Health at Home","Avid Health delivers exceptional personalized in-home care services by hiring compassionate people who believe in taking care of our clients, fellow employees, and the communities we serve.","Home Health Care Services","201-500 employees","Privately Held","Chicago, IL","United States","avidhealthathome.com","https://www.linkedin.com/company/avid-health-at-home"
,"Optimatum Solutions LLC","Optimatum Solutions is a vendor management firm delivering robust solutions in the areas of Employer Sponsored Healthcare, Retirement, HR Systems and M&A/Transitional Services. We work with our clients to develop harmonized solutions and provide management and oversight of the various vendors to achieve successful delivery models. We are a high performing, entrepreneurial, and customer focused organization. 

Our culture is one of inclusion, diversity, individuality, and cohesive growth. We encourage ongoing learning and personal development as corporate red tape is not part of our eco-system. We believe that each team member, while they stand on their own merits, brings immense value to the overall success of the company. Our success is dependent upon open communications, individual contributions, and ongoing team development.","Business Consulting and Services","11-50 employees","Privately Held","New York, NY","United States","optimatumsolutions.com","https://www.linkedin.com/company/optimatum"
,"Ativa","Ativa is working to make diagnostic test results available in moments, rather than hours and days. The system allows nurses and assistants to run all the major critical blood and urine tests immediately themselves, on a card reader as thin as just a few hairs. This avoids the need for time-consuming and costly “send outs” to other labs. And it all happens with just a drop of blood.

Though there are many point of care tests, Ativa’s product can conduct all the major tests on-site, featuring more than 200 patents, our universal operating system replicates the most important diagnostic lab tests right at the point of care.","Medical Equipment Manufacturing","11-50 employees","Privately Held","St. Paul, MN","United States","ativamed.com","https://www.linkedin.com/company/ativa-medical-inc"
,"Adelphi Staffing, LLC","Adelphi Staffing, LLC is a recruiting firm connecting public and private organizations with top-tier talent across diverse industries, including healthcare, technology, education, and pharmaceuticals. We provide tailored recruitment solutions to address unique industry challenges.

From temporary placements to permanent hires, Adelphi Staffing leverages its extensive network and expertise to deliver outstanding results. By focusing on adaptability, efficiency, and precision, we ensure clients have the right talent to succeed in today’s dynamic market.","Staffing and Recruiting","11-50 employees","Privately Held","Kennesaw, GA","United States","adelphistaffing.com","https://www.linkedin.com/company/adelph-staffing"
,"Activate Care","Activate Care is a nationally-recognized provider of social risk management solutions.  Path Assist from Activate Care is designed to improve community health outcomes by proactively screening populations for social needs and utilizing our community health navigators interventions leading to better outcomes. 

Activate Care is privately held and venture-funded by the disruptive innovation investment firm, Rose Park Advisors. For more information, visit http://www.activatecare.com","Community Services","51-200 employees","Privately Held","Boston, Massachusetts","United States","activatecare.com","https://www.linkedin.com/company/activate-care"
,"Evergen (Formerly RTI Surgical)","Evergen is a leading Contract Development and Manufacturing Organization (CDMO) pushing the boundaries of innovation and tissue engineering to meet patient needs in regenerative medicine. We are expert partners to Original Equipment Manufacturers (OEMs), working with them to identify clinical problems and develop customized solutions that promote healing, accelerate recovery, and help prevent complications. Using our extensive portfolio of biological materials, we focus on specialized clinical segments, including plastic and reconstructive surgery, sports medicine and orthopedics, cardiac, and neurosurgery. 

Our Mission is to enhance patients' lives by creating the best clinical outcomes through innovative, high-quality medical solutions.","Medical Equipment Manufacturing","501-1,000 employees","Privately Held","Alachua, FL","United States","evergenbio.com","https://www.linkedin.com/company/rtisurgical"
,"Madison Miles","Madison Miles is dedicated to aligning world-class healthcare organizations with high-caliber management and leadership. We use a consultative approach to build mutually beneficial relationships. Whether you are a leader looking for a new opportunity or an organization looking for an interim or permanent executive, we can help.","Hospitals and Health Care","2-10 employees","Privately Held","Waltham, Massachusetts","United States","madisonmiles.com","https://www.linkedin.com/company/madisonmiles"
,"Johnson & Johnson MedTech | Heart Recovery","Recovering Hearts. Saving Lives. We are the global leader in heart recovery through our ABIOMED portfolio.","Hospitals and Health Care","1,001-5,000 employees","Public Company","Danvers, Massachusetts","United States",,"https://www.linkedin.com/company/johnson-johnson-medtech-heart-recovery"
,"Oasis Security","Oasis is the market leading platform for non-human identity management. Our mission is to fortify cybersecurity defenses by enabling enterprises to efficiently secure non-human identities throughout their lifecycle. The shift to hybrid multi-cloud, microservices, agile development and AI-driven business process automation has led to the  exponential growth of non-human identities, completely changing the identity fabric of enterprise environments. 

We created the first enterprise platform purpose-built to address the security and operational challenges of Non-human Identities. Our platform empowers security, engineering and developers teams to improve security posture, implement stronger governance and simplify compliance by taking control of the non-human identity lifecycle without risking system resilience and without operational complexity.","Computer and Network Security","11-50 employees","Privately Held","New York, New York","United States","oasis.security","https://www.linkedin.com/company/non-human-identity-management-oasis"
,"RitualLife","RitualLife is an agency built to answer the rising customer demand on the health marketer. ConcentricLife spans three distinct specialist practices that bring over 20 years of deep subject matter expertise in rare disease, healthcare, and wellness; with sophisticated marketing capabilities spanning the organization. A part of Accenture Song, we put Health at the Center through our proprietary Human Connection Score designed to build optimal brand experiences at any stage of the health journey.","Advertising Services","11-50 employees","Privately Held","Atlanta, Georgia","United States",,"https://www.linkedin.com/company/rituallife"
,"Kellie Tinnin & Associates","I am Kellie Tinnin, President of Kellie Tinnin Consulting, LLC. I help organizations make a measurable difference in their team’s efficiency and performance. I believe that learning is continuous and should not stop with the implementation of a single program, but should continue with ongoing measures to make impactful and long term change in an organization.","Business Consulting and Services","Self-employed","Self Employed","Albuquerque, New Mexico","United States",,"https://www.linkedin.com/company/kellie-tinnin-consulting-llc"
,"LEADWAVE.AI Revenue Growth Machine","We are a Revenue Growth Machine. 
More Leads, Better Leads, Faster Deals, More Winning!","Technology, Information and Internet","11-50 employees","Privately Held","Austin, Texas","United States","leadwaveros.com","https://www.linkedin.com/company/lead-wave-ai"
,"Health AI Partnership","A Multi-stakeholder collaborative that seeks to empower healthcare delivery settings to adopt AI safely, effectively, and equitably. 

Trusted resource for contemporary guidance for healthcare professionals using AI and related emerging technologies. 

A platform for community-generated, expert-curated guidance, resources, and standards for responsible AI adoption in healthcare. 

A network that creates a safe space for peer advice and collaboration to address the most challenging issues health system leaders face while adopting AI in healthcare settings.","Professional Organizations","2-10 employees","Partnership","Durham, North Carolina","United States","healthaipartnership.org","https://www.linkedin.com/company/health-ai-partnership"
,"NICA","The Network of Independent Claims Adjusters, NICA Services, is your resource for licensed, qualified and experienced insurance claims professionals. We provide the highest level of customer service to our clients and talent.  With over 20 years of insurance claims handling experience, we provide the support you need, when you need it.

We empower our clients to achieve their goals by matching them with top-notch professionals. By focusing exclusively on the insurance sector, we offer employers and job candidates an unparalleled level of expertise.","Staffing and Recruiting","2-10 employees","Privately Held","Atlanta, Georgia","United States","nicaservices.com","https://www.linkedin.com/company/nicaservices"
,"US ENT Partners","US ENT helps ENT practices realize savings by aggregating purchasing volume for leverage to negotiate maximum discounts on behalf of its customers with manufacturers, distributors, and suppliers.","Hospitals and Health Care","2-10 employees","Privately Held","Dallas, TX","United States","usent.com","https://www.linkedin.com/company/us-ent-partners"
,"Staffency","We're Staffency! As a healthcare workforce solutions provider founded in 2014, we are dedicated to driving your business growth through data-driven insights, all aimed at enhancing patient care delivery. We closely collaborate with you, tailoring our solutions to address your unique healthcare workforce challenges.

With a strategic and technology-driven approach, we assist health systems and hospitals in acquiring top-tier talent, improving cost efficiencies, enhancing compliance management, and building sustainable workforce solutions.

Our comprehensive services include Managed Services Provider (MSP) programs, Recruitment Process Outsourcing (RPO), Vendor Management Systems (VMS) solutions, Float Pool, Direct Sourcing, Direct Placement, and Strike Services. 

Boasting a 96% fill rate and a 100% client retention rate over the past decade, we're committed to delivering results and fostering meaningful relationships with our client-partners!","Staffing and Recruiting","51-200 employees","Privately Held","Appleton, Wisconsin","United States","staffency.com","https://www.linkedin.com/company/staffency"
,"Sano","Sano means health—both in its Latin roots and in our everyday practices.
 
At Sano, we revolutionize healthcare through innovative, inter-connected, compassionate, personalized care. Our unwavering commitment to the health of our patients empowers individuals to achieve optimal well-being, shaping a healthier future and communities.
 
Through patient education and the latest techniques, we believe there is a better way to provide health and care across the injury, intervention, prevention, and wellness lifecycle. This is why we offer a range of treatment options and procedures for orthopedics, vascular, and vein health—everything from pain management and athletic injuries to vascular interventions.
 
At Sano, we're more than a workplace or a medical provider – we're a team of changemakers committed to transforming how care is delivered. Our team embodies compassion, dedication, and a relentless focus on health. While traditional healthcare is transactional, we believe in health & care that’s relational.","Hospitals and Health Care","51-200 employees","Self Owned","Lees Summit, Missouri","United States","sanoorthopedics.com","https://www.linkedin.com/company/sano-orthopedics"
,"MIMIT Health","We believe in treating the whole person—mind, body, and spirit—so that our patients can return to a state of well-being. Compared to traditional surgery, our minimally invasive and non-surgical procedures offer reduced risk, reduced pain, and shorter recovery times. 

Now offering primary care, regenerative care, and cosmetic dermatology services.","Hospitals and Health Care","51-200 employees","Privately Held","Des Plaines, Illinois","United States","mimithealth.com","https://www.linkedin.com/company/mimithealth"
,"Care.com","Care.com is a consumer tech company with heart. We’re on a mission to solve a human challenge we all face: finding great care for the ones we love. We’re moms and dads and pet parents. We have parents and grandparents so we understand that everyone, at some point in their lives, could use a helping hand. Our culture and our products reflect that. 

Here, entrepreneurs, self-starters, team players, and big thinkers unite behind a common cause. Here, we’re applying data analytics, AI and the latest technologies to solve universal problems and connect people in new ways. If you like having autonomy, if you thrive on collaboration and building new things, and if you’re all about using your talent for good, Care.com is the place for you.","Consumer Services","1,001-5,000 employees","Privately Held","Dallas, Texas","United States","care.com","https://www.linkedin.com/company/care-com"
,"Trella Health","Trella provides unmatched access to clear, data-based insights that help focus sales and marketing efforts, streamline operations, and nurture the trusting relationships so critical to your success. 

We empower providers from across the care continuum to work together, paving the way for healthier, more cost-effective outcomes. There’s a lot of data out there – we’ll help you use it to find top-performing partners and take decisive action.","IT Services and IT Consulting","51-200 employees","Privately Held","Atlanta, GA","United States","trellahealth.com","https://www.linkedin.com/company/trellahealth"
,"Aspen Insights, Inc","Aspen Insights is a data science and artificial intelligence firm focused on modernizing clinical research recruitment by simplifying patient matching and streamlining feasibility and the chart review process.","IT Services and IT Consulting","11-50 employees","Privately Held","Fort Worth, Texas","United States","aspeninsights.com","https://www.linkedin.com/company/aspen-insights"
,"Northwestern Medicine International Health","We believe that every patient deserves access to Northwestern Medicine’s award-winning standard of care. We deliver compassionate care, comprehensive services, and a welcoming environment and provide education, research, and consultative services.","Hospitals and Health Care","10,001+ employees","Non Profit","CHICAGO, IL","United States","northwesterninternationalhealth.com","https://www.linkedin.com/company/northwesternmedicineinternationalhealth"
,"Northwestern Medicine Global Services","We believe that every patient deserves access to Northwestern Medicine’s award-winning standard of care. We deliver compassionate care, comprehensive services, and a welcoming environment and provide education, research, and consultative services.","Hospitals and Health Care","10,001+ employees","Non Profit","CHICAGO, IL","United States","northwesternglobalservices.com","https://www.linkedin.com/company/northwesternmedicineglobalservices"
,"Frontline Behavioral Wellness","Frontline Behavioral Wellness has assembled a team that is not only culturally competent, but has the ability to assist our First Responders and public safety employees on a path to healing through our innovative therapeutic modalities, by providing a safe therapeutic environment for our hero’s to heal.","Mental Health Care","51-200 employees","Privately Held","Costa Mesa, California","United States","acerahealth.com","https://www.linkedin.com/company/frontline-behavioral-wellness"
,"Clove Health","Clove Health is a health communications innovation company that combines the medical humanities with computational social sciences to help leading digital health companies attract, activate, and engage their patients and providers.

We do this four ways:

1 | Researching the connections between digital health content and human behavior

2 | Developing health content that impacts clinical outcomes

3 | Upskilling health content professionals

4 | Advising and consulting with companies on how to grow by leveraging therapeutic content

In the past, our team has worked with international healthcare, advocacy and research organizations like the United Nations (UN) Food World Program, Johns Hopkins Medicine, Rush University Medical Center, Johnson & Johnson, Medtronic, the Institute of Nutrition for Central America and Panama, Action Against Hunger, and GutCheck.

We believe that content is care, too.

Contenido tambien aporta salud.

Servicios disponibles en Español.","Business Consulting and Services","2-10 employees","Privately Held","Tampa, FL","United States","clovehealth.com","https://www.linkedin.com/company/clovehealth"
,"Soterya, Inc.","On average, we spend a third of our lives in bed. Our self-positioning bed; the Korus, combined with our AI-driven software, is designed to provide precise sleep therapies improving lifestyle and medical care that benefits sleep wellness and faster recovery at home.","Medical Equipment Manufacturing","2-10 employees","Privately Held","Charlestown, Massachusetts","United States","soteryabio.com","https://www.linkedin.com/company/soteryabio"
,"AJC","AJC is a full-service management consulting firm that on helps companies scale with people, process, and technology changes.  Their team of experienced consultants bring objectivity and extra horsepower to drive execution for strategic projects like: ERP implementations, operational process standardization and improvement, standing up Agile product development teams, and aligning disparate workforces to new products and services.  AJC tailors their services to meet client needs, so clients are not paying for full-time resources when the project doesn't call for one. 

SERVICES OFFERED
Project Management
Process Design, Evaluation, Improvement for multiple segments including manufacturing, operations, general business, and services.
Technical Training
Quality Review

Key Industries:
Manufacturing (production of tangible goods)
Pharmaceutical
Healthcare
Construction","Business Consulting and Services","11-50 employees","Privately Held","Portland, Oregon","United States","andreajonesconsulting.com","https://www.linkedin.com/company/andreajonesconsulting"
,"Juniper Behavioral Health","We're on a mission to make behavioral health more available and accessible. We're backed by a16z, YCombinator, Craft, and many others to make this dream a reality.

At Juniper, we build software for behavioral health clinicians to improve quality of care. We streamline and replace manual efforts so clinicians can focus on what they do best: providing high-quality care.

—

Behavioral health is broken. We think this is a problem worth solving, and we think we might know how to solve it. Interested? Check out https://jobs.lever.co/juniperplatform.

—

Want to say hi? Drop us a line at hello@juniperplatform.com.

—

YC ’21: https://www.ycombinator.com/companies/juniper.","Mental Health Care","51-200 employees","Privately Held","New York, NY","United States","juniperplatform.com","https://www.linkedin.com/company/juniperplatform"
,"The InterMed Group","The InterMed Group is a premier provider of integrated technology management services, systems, services and parts. We are focused on enhancing the overall quality, cost, and confidence in your equipment administration. Our Biomedical, Ultrasound, X-Ray, and NucMed specialists and unique “Jump Teams” are empowered to deliver unmatched customer service and the industry’s best technology at competitive rates. We invite you to discover how our innovative technology, operational excellence, and deeply experienced and passionate professionals have earned us a blemish-free track record and sterling reputation for consistently exceeding our clients’ expectations.","Hospitals and Health Care","201-500 employees","Privately Held","Alachua, Florida","United States","intermed1.com","https://www.linkedin.com/company/theintermedgroup"
,"Tredit IQ (YC W24)","TreditIQ streamlines the B2B credit process with AI. From easily configurable, branded onboarding experiences to advanced AI automation and research, Tredit IQ allows businesses to easily process, monitor, and scale their trade partnerships with ease.","Software Development","2-10 employees","Privately Held","San Francisco, CA","United States","treditiq.com","https://www.linkedin.com/company/treditiq"
,"Edvak Inc","Information Technology and Services","Technology, Information and Internet","51-200 employees","Privately Held","Houston, TX","United States","edvak.com","https://www.linkedin.com/company/edvak-inc"
,"Accuhealth is Becoming TelliHealth","We’re excited to announce that Accuhealth and Signallamp Health have merged to form TelliHealth! This transformation allows us to expand our Remote Patient Monitoring (RPM) and Chronic Care Management (CCM) services nationwide, delivering even greater value to our clients and patients.

At TelliHealth, our mission is simple: We combine cutting-edge technology with personalized care to help patients better manage their health. By integrating real-time health data with individualized support, we’re creating a more connected, accessible, and effective healthcare system.

Our new brand and website are in progress, and we’re working behind the scenes to bring you an enhanced, seamless experience.

Want to stay in the loop? Visit our announcement page to learn more about what's coming! https://news.tellihealth.com/tellihealth-annoucement","Hospitals and Health Care","201-500 employees","Privately Held","McAllen, TX","United States","accuhealth.tech","https://www.linkedin.com/company/accuhealth"
,"Xenios","Transforming Health & Wellness Through Personalized Care and Innovative Technology","Wellness and Fitness Services","11-50 employees","Public Company","Los Angeles, California","United States","xenioshealth.com","https://www.linkedin.com/company/xenios-health"
,"One Click Contractor","One Click was designed by contractors for contractors to be your platform for the entire sales workflow. From measurement to creating the estimate to closing the job. We keep all of the vital information related to each job together, allowing sales to focus on revenue-generating activities.","Technology, Information and Internet","11-50 employees","Privately Held","Carmel, IN","United States","oneclickcontractor.com","https://www.linkedin.com/company/one-click-contractor"
,"Campbell Construction","We are here to make the construction process simple. Our goal is to not only build you the space you envisioned, but to provide you with solutions and take the pain out of construction. When you aren't sure where to begin, what steps to take, or what type of project your budget can afford, we are ones you can call.","Construction","11-50 employees","Privately Held","York, PA","United States","campbellbuilds.com","https://www.linkedin.com/company/campbellbuilds"
,"Mobile Anesthesiologists","Mobile Anesthesiologists (MA) is the leader in safe, state-of-the-art anesthesia and recovery services for office-based surgical procedures throughout the country.  We provide a Board-Certified/Eligible Anesthesiologists, critical care trained nurses for pre-op and recovery, all anesthesia related drugs, supplies and equipment for the procedure and any possible emergencies.  Our anesthesiologists carry full liability coverage and do not require supervision.  MA provides a customized, turnkey anesthesia service, increasing the quality of care you provide your patients while minimizing unnecessary risk during procedures that require anesthesia.","Medical Practices","51-200 employees","Privately Held","Downers Grove, Illinois","United States","zzzmd.com","https://www.linkedin.com/company/mobile-anesthesiologist"
,"Hillcrest Health Services","Hillcrest Health Services is a leader in innovative services for aging adults.  Hillcrest meets the needs and goals of aging adults by offering the region’s largest continuum of aging services, featuring devoted team members who deliver care to customers as if they were their own family members. We believe in our core values: We Care & Respect, We Create Awesome Experiences, We Expect Excellence, We Learn & Grow and We Have Fun! To learn more about joining our team, visit hillcrestcareers.com.","Hospitals and Health Care","1,001-5,000 employees","Privately Held","Bellevue, Nebraska","United States","hillcresthealth.com","https://www.linkedin.com/company/hillcresthealth"
,"TidalHealth","TidalHealth is a robust health system on the Delmarva Peninsula, backed by a legacy of firsts and a long history of proven accomplishments. With quality as our constant, special as our signature, and community at our core, we operate with the belief that each and every person can make a difference.

Resilience is part of the landscape of where we live, and we channel our resiliency into our care, tirelessly working to improve the health of the communities we serve. We are a vital, connected team – a true force of human nature.","Hospitals and Health Care","5,001-10,000 employees","Non Profit","Salisbury, Maryland","United States","tidalhealth.org","https://www.linkedin.com/company/mytidalhealth"
,"PPE Center","Platform connecting credible trades and traders. Find the right deals on the market as important as PPE.","Hospitals and Health Care","11-50 employees","Privately Held","Miami Beach, Florida","United States","ppecenter.us","https://www.linkedin.com/company/ppe-center-us"
,"3 Owl","3 Owl is a digital transformation and customer experience agency serving people with bright visions and bold ambitions. We create extraordinary experiences built on innovative technologies and tools to equip our clients for success, and build data-driven creative solutions that adapt to clients’ changing needs and support their transformational growth.","Technology, Information and Internet","11-50 employees","Privately Held","Atlanta, Georgia","United States","3owl.agency","https://www.linkedin.com/company/3-owl-media"
,"CardioConnections","CardioConnections is a cardiac sonography app with education, protocols, technology, resources, accreditation, and more for the echo community. Coming soon!","Hospitals and Health Care","2-10 employees","Partnership","Phoenix, Arizona","United States","cardioconnections.com","https://www.linkedin.com/company/cardioconnections"
,"Mav","You don't need a call center. Just use Mav. 

Mav is the AI-powered insurance expert that engages unlimited leads with friendly texts to qualify, quote, and connect prospects to agents.

FKA Black Ops.","Software Development","2-10 employees","Privately Held","Las Vegas, NV","United States","hiremav.com","https://www.linkedin.com/company/hiremav"
,"Ora Dental","Dental practice management. Reimagined.
Soon, you will experience a reimagined approach to enterprise software purpose built for large DSOs and multi-site dental practices.","Technology, Information and Internet","11-50 employees","Privately Held","San Diego, California","United States","oradental.com","https://www.linkedin.com/company/grow-with-ora"
,"Virtual Nursing Academy","The Virtual Nursing Academy is the premier, self-directed online program designed to educate and enable organizations to develop, launch, and evaluate their virtual nursing care delivery models. The Virtual Nursing Academy is a unique self-paced, online program to assist hospitals & health systems in building, launching, and evaluating their organizational virtual nursing care delivery model. Our program is used by hospitals and health systems throughout the country to build and launch their virtual nursing models.","Hospitals and Health Care","2-10 employees","Privately Held","Austin","United States","virtualnursingacademy.com","https://www.linkedin.com/company/virtualnursingacademy"
,"mlee.com Medical Employment Software and HR Technology","mlee is a Medical Employment Software and HR Technology platform designed to streamline the medical employment process for candidates, organizations and staffing agencies. Guided by the collective expertise of leading recruiters, healthcare professionals and engineers in the industry, mlee is a central hub for healthcare job listings, recruitment training, employer branding and advanced applicant tracking software (ATS). With cost effective software finely curated to maximize the recruiting process and reduce inefficiencies, mlee is the single source solution for the medical employment experience.","Technology, Information and Internet","501-1,000 employees","Privately Held","Austin, Texas","United States","mlee.com","https://www.linkedin.com/company/mlee-healthcare"
,"ANP Health","ANP Health is a pioneering healthcare staffing agency dedicated to sourcing, training, and placing highly skilled healthcare professionals, particularly nurses, in healthcare facilities across the United States. Our primary goal is to bridge the gap between demand and supply in the healthcare industry, focusing on providing superior quality of care by recruiting the finest talent.

We specialize in guiding international nurses through the complex process of achieving U.S. licensure and immigration. Our comprehensive support includes assistance with credential evaluations, exam preparations, visa processing, and a transition program to acclimatize nurses to the U.S healthcare system.

ANP Health Services Inc. operates with a deep sense of commitment and integrity, always putting the needs of our healthcare professionals and clients at the forefront. Our team thrives on fostering an environment of support, growth, and continuous learning, ensuring the best possible outcomes for all stakeholders.

By striving for excellence and maintaining the highest professional standards, ANP Health Services Inc. continues to be a trusted partner in the healthcare sector, supporting facilities with their staffing needs and helping healthcare professionals realize their career aspirations.","Staffing and Recruiting","11-50 employees","Privately Held","Sarasota, Florida","United States","anphealthsolutions.com","https://www.linkedin.com/company/anp-health"
,"Live LYTE Counseling & Services, LLC","Live LYTE Counseling & Services offers a variety of virtual solutions to manage daily stressors, navigate challenges, promote professional growth, and meet the needs of our clients and your organization.","Mental Health Care","2-10 employees","Self Employed","Fort Lauderdale, Florida","United States","livelytecounseling.com","https://www.linkedin.com/company/livelytellc"
,"Tellus","Tellus is a growing, mission-driven, health-tech start-up focused on improving healthcare, and eldercare in particular. Our personal experience was our inspiration: we wanted to build a technology for our loved ones that provided us with actionable health information and peace-of-mind, all while protecting their privacy and independence. 

Like so many of you - we have cared for an aging family member and tried all the unsatisfying gadgets like cameras, bracelets, and bed sensors. This is why we have created a novel way to monitor important health information. Tellus is a non-contact device, using AI and sensors (with no wearables, microphones or video cameras). Our highly impactful algorithms detect falls, sleep and vitals -- and send alerts when things look concerning. Our most recent work relates to coughing and early disease symptom detection. Our technology has been tested in eldercare facilities in Japan for accuracy and effectiveness. 

As we grow our capabilities and sales, we are looking to partner with forward-thinking healthcare organizations. Please email us at info@tellusyoucare.com for more information.","Hospitals and Health Care","11-50 employees","Privately Held","San Francisco, California","United States","tellusyoucare.com","https://www.linkedin.com/company/tellusyoucare"
,"Coactive","Workflow and automation software for any business.

Coactive is a software technology company building productivity tools and processes that help teams enjoy their everyday work. Our core expertise is in supporting Life Sciences, Legal, Manufacturing and Consulting sectors who want to digitize business processes, increase productivity and accelerate digital transformation. 

Coactive's proprietary no-code development platform allows citizen developers and business users to quickly build applications that streamline operational efficiency and automate manual or repetitive processes.","IT Services and IT Consulting","11-50 employees","Privately Held","Indianapolis, Indiana","United States","gocoactive.com","https://www.linkedin.com/company/coactiveapps"
,"SimpleTrials CTMS & eTMF","SimpleTrials is Clinical Trial Management System (CTMS) and Electronic Trial Master File (eTMF) solution for clinical study teams.","Software Development","11-50 employees",,"Oakland, CA","United States","simpletrials.com","https://www.linkedin.com/company/simpletrials-ctms"
,"Glutality","At Glutality, we believe in redefining the future of diabetes care. As pioneers in remote patient monitoring, we're committed to offering patients an experience that combines the best of technology with compassionate care. Our state-of-the-art IGlucose meter empowers individuals to tap into real-time monitoring, ensuring that they are consistently informed and in control of their health journey.

But our dedication doesn’t end with technology. We've integrated telehealth solutions that provide our community with direct access to top-tier doctors, no matter where they are. At Glutality, it's not just about monitoring; it's about creating an ecosystem where every patient feels supported, informed, and empowered. Dive in, explore our offerings, and let's champion your health journey together.","Hospitals and Health Care","51-200 employees","Privately Held","Boca Raton, Florida","United States","glutality.com","https://www.linkedin.com/company/glutality"
,"VentureOS","VentureOS is the enterprise AI platform designed to help consulting firms scale efficiently. Purpose-built for growing firms, our platform automates workflows, enhances knowledge management, and streamlines project delivery so you can focus on delivering impact, not administrative overhead.

With VentureOS, you get:

 AI-Powered Workflows – Automate tedious tasks and optimize project execution.
 Intelligent Knowledge Hub – Centralize insights and eliminate duplicate work.
 Client & Resource Management – Enhance collaboration with secure client portals and resource tracking.
 Enterprise-Grade Security – Bank-level security, role-based access, and GDPR compliance.

Trusted by leading consulting firms, VentureOS delivers the technology you need to scale operations, maximize efficiency, and drive measurable results.

Unlock the power of AI for your firm. Start your firm assessment today.","Technology, Information and Internet","11-50 employees","Public Company","New York, NY","United States",,"https://www.linkedin.com/company/ventureos-ai"
,"Industry Market Watch","The pharmaceutical and healthcare market is a complex and dynamic industry that encompasses a wide range of products, services, and stakeholders. The market is primarily driven by advancements in medical technology, increasing demand for healthcare services, and growing awareness about the benefits of preventive care.

Pharmaceutical companies are responsible for the research, development, manufacturing, and distribution of drugs and other medical products. These companies invest heavily in research and development to create new drugs and treatments for a variety of diseases and conditions. The pharmaceutical market is highly regulated by government agencies such as the FDA, which ensures that drugs are safe and effective before they are released to the public.","Market Research","501-1,000 employees","Public Company","Alamosa, Colorado","United States","verifiedmarketresearch.com","https://www.linkedin.com/company/industrymarketwatch"
,"Upequity","Upequity delivers patient-centered research and novel, evidence-based programs and services that improve access to quality, affordable healthcare for underserved populations with rare and serious health conditions.","Research Services","2-10 employees","Non Profit","Menomonee Falls, WI","United States","upequity.org","https://www.linkedin.com/company/upequity-org"
,"Succeed Management Solutions, a KPA Company","Succeed Management Solutions, now a KPA company, is the recognized leader in providing web-based Enterprise Risk Management solutions. Thousands of organizations use the Succeed Risk Management Center as a holistic solution to improve their risk management programs, implement web-accessible employee safety training programs, increase efficiencies, and lower the frequency and severity of claims and associated costs.

The Succeed Risk Management Center contains a suite of software applications that help manage claims and OSHA reporting (Incident Track), behavior-based safety programs (BBS Track), hazard communication and Safety Data Sheets (SDS Track), Return to Work programs (Job Description Track), employee training (Training Track), and third party insurance compliance (COI Track). Succeed also offers other support services, such as creating custom training courses.","Software Development","11-50 employees","Privately Held","Portland, OR","United States","kpaonline.com","https://www.linkedin.com/company/succeed-management-solutions-llc"
,"Athenium Analytics","Athenium Analytics supports insurance carriers and financial traders worldwide with decisive and reliable business intelligence through intuitive, easy-to-use web applications. Our innovative quality assurance software and analytics solutions provide customers with meaningful, timely and actionable information they can trust for deeper insight and better-informed decision making.","Business Intelligence Platforms","51-200 employees","Privately Held","Dover, New Hampshire","United States","athenium.com","https://www.linkedin.com/company/athenium-analytics"
,"University of North Texas Health Science Center College of Public Health","Creating solutions for a healthier community.","Hospitals and Health Care","51-200 employees","Educational","Fort Worth, Texas","United States","unthsc.edu","https://www.linkedin.com/company/university-of-north-texas-health-science-center-school-of-public-health"
,"UNTHSC College of Public Health","Creating solutions for a healthier community.","Hospitals and Health Care","51-200 employees","Educational","Fort Worth, Texas","United States","unthsc.edu","https://www.linkedin.com/company/university-of-north-texas-health-science-center-college-of-public-health"
,"Clientell","At Clientell AI, we’re reimagining the Salesforce experience. Imagine AI agents that can clean your data, build complex workflows, and resolve RevOps tickets—instantly. Our promise? To transform clunky, time-consuming admin tasks into a seamless, almost delightful part of your day.

We’re not just automating processes; we’re offering a glimpse into the AI future of Salesforce. For RevOps and Sales leaders, it means fewer roadblocks and more momentum. For Salesforce admins, it’s the freedom to innovate rather than get bogged down in routine tasks.

Step into a world where your Salesforce environment works for you—effortlessly and intuitively.","Technology, Information and Internet","11-50 employees","Privately Held","San Francisco, California","United States","getclientell.com","https://www.linkedin.com/company/getclientell"
